name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
STARLINK-34086,65734,26,216.69018164,53.1622,4.7066,6.2e-05,6.8077,353.2934,920.622594,0.0006297399999999999,U,active,1 65734U 25216A   26216.69018164  .00020940  00000+0  62974-3 0  9998,2 65734  53.1622   4.7066 0000620   6.8077 353.2934 15.34370990 49233,6840.926465399194,93.84953243934832,469.92646539919406
STARLINK-35099,65735,26,216.6754528,53.1628,4.6112,0.0001547,100.8602,259.2575,920.628465,0.0005909600000000001,U,active,1 65735U 25216B   26216.67545280  .00019630  00000+0  59096-3 0  9996,2 65735  53.1628   4.6112 0001547 100.8602 259.2575 15.34380775 49181,6840.89738155521,93.84893394535656,469.8973815552099
STARLINK-35167,65736,26,216.68386949,53.1625,4.6661,0.0001179,52.6054,307.5056,920.6249058000001,0.00036929000000000004,U,active,1 65736U 25216C   26216.68386949  .00012111  00000+0  36929-3 0  9990,2 65736  53.1625   4.6661 0001179  52.6054 307.5056 15.34374843 49218,6840.915013134309,93.84929677187102,469.91501313430945
STARLINK-35121,65737,26,217.11458287,53.1594,2.377,0.0002068,74.1415,285.9816,920.6269805999999,0.00053273,U,active,1 65737U 25216D   26217.11458287  .00017653  00000+0  53273-3 0  9992,2 65737  53.1594   2.3770 0002068  74.1415 285.9816 15.34378301 49281,6840.904734968017,93.84908526544656,469.9047349680168
STARLINK-35108,65738,26,216.69859776,53.1613,4.7578,0.0001355,308.9424,51.1458,920.6217509999999,0.00058809,U,active,1 65738U 25216E   26216.69859776  .00019526  00000+0  58809-3 0  9994,2 65738  53.1613   4.7578 0001355 308.9424  51.1458 15.34369585 49269,6840.930641490062,93.84961837600555,469.93064149006204
STARLINK-35106,65739,26,216.70490723,53.161,4.7915,4.89e-05,68.1919,291.9136,920.6296374,0.00090997,U,active,1 65739U 25216F   26216.70490723  .00030477  00000+0  90997-3 0  9992,2 65739  53.1610   4.7915 0000489  68.1919 291.9136 15.34382729 49186,6840.891573740306,93.84881443096587,469.89157374030583
STARLINK-35130,65740,26,216.57252884,53.1611,5.3911,9.37e-05,90.5565,269.5545,920.628084,0.00040197000000000003,U,active,1 65740U 25216G   26216.57252884  .00013220  00000+0  40197-3 0  9997,2 65740  53.1611   5.3911 0000937  90.5565 269.5545 15.34380140 49243,6840.899268949093,93.84897278454088,469.8992689490933
STARLINK-35284,65741,26,216.67334977,53.1619,4.6069,0.000153,83.1087,277.009,920.6235312,0.0006254499999999999,U,active,1 65741U 25216H   26216.67334977  .00020796  00000+0  62545-3 0  9990,2 65741  53.1619   4.6069 0001530  83.1087 277.0090 15.34372552 49219,6840.921822663661,93.84943689998958,469.92182266366126
STARLINK-35316,65742,26,216.786786,53.1599,3.8865000000000003,0.0001231,109.2321,250.8815,920.6354981999999,0.00096961,U,active,1 65742U 25216J   26216.78678600  .00032518  00000+0  96961-3 0  9991,2 65742  53.1599   3.8865 0001231 109.2321 250.8815 15.34392497 48146,6840.862540795163,93.84821698590463,469.8625407951631
STARLINK-35319,65743,26,216.42752591,53.1614,5.9038,5.51e-05,116.08269999999999,244.0233,920.6355174,0.00077082,U,active,1 65743U 25216K   26216.42752591  .00025751  00000+0  77082-3 0  9999,2 65743  53.1614   5.9038 0000551 116.0827 244.0233 15.34392529 49226,6840.862445683646,93.84821502868513,469.862445683646
